Tweet;Category;
What anime?;Entertaiment;
Lord of Mysteries;Entertaiment;
Is it a movie?;Entertaiment;
Special episodes;Entertaiment;
What show is this;Entertaiment;
Lord of Mysteries;Entertaiment;
I need to rewatch season 1 ;Entertaiment;
Try to watch it in English dub;Entertaiment;
is this season 2 that’s coming?;Entertaiment;
It's not the season 2;Entertaiment;
Ohh so we get season 2 so soon? ;Entertaiment;
I mean idk about the episode of the year. Pretty sure finale of rezero,  or ending of cour 1 of MT will take it  if not a witch hat episode.;Entertaiment;
Yo what anime is this?;Entertaiment;
Lord of mystries??;Entertaiment;
I thought this was bleach.;Entertaiment;
Definitely watch in English,  I am chinese and it's giving me headache watching chinese speech and eng subtitle. Only on episode 1  animation is quite stressful to watch  too chaotic and poor use of lighting...etc I will watch some more to see if it gets better.;Entertaiment;
Can't wait for the Special Episode's mahn... ;Entertaiment;
Isnt season 2 coming out only on 2027?;Entertaiment;
I have literally never seen this show before,  only saw like a trailer a long time ago so I have no idea how I immediately knew it was Lord of Mysteries;Entertaiment;
I AM HYPERVENTILATING WITH HYPE;Entertaiment;
Ohh so we get season 2 so soon? ;Entertaiment;
Trust me guys this is peak show. Read the novel it's really peak;Entertaiment; 
Looks like I found something new to watch;Entertaiment;
Let's get it!!! Can't wait for the Fool's stories.;Entertaiment;
Justice for Captain Dunn!;Entertaiment;
So far I'm in volume 5 of the novel  and guys let me tell season 2 will be the best season;Entertaiment;
Im gonna watch lotm from start again,  had dropped it after ep 3. I like binge watching.;Entertaiment;
I can’t wait for the lord of mysteries;Entertaiment;
“Lord of Mid” is the show name;Entertaiment;
EPISODE OF THE YEAR ?;Entertaiment;
Ohh so we get season 2 so soon? ;Entertaiment;
EPISODE OF THE YEAR ?;Entertaiment;
Man this news make me angry. They skip big part in season 1 and now they make special episode like it fix everything? No way. The animation look cheap and the story feel rush. LOTM book is way better. This just cash grab for fans. I not watch it.;Entertaiment;
What anime.;Entertaiment;
I bet it's Lord of the Mysteries. I watched the first episode and couldn't keep going.;Entertaiment;
When is the 2nd season coming ?;Entertaiment;
What show is this;Entertaiment;
One month for my exams too;Entertaiment;
Time to see Lord of Mysteries;Entertaiment;
new season?;Entertaiment;
Can’t wait;Entertaiment;
Legit this show doesnt get enough hype.;Entertaiment;
LORD OF THE MYSTERIES;Entertaiment;
Donghuas are the best;Entertaiment;
WAIT MY SHOW BACK????;Entertaiment;
We talking about bleach tybw right ??;Entertaiment;
Bleach is not out yet;Entertaiment;
Won't be top 5 in rezero s4;Entertaiment;
Chinese slop;Entertaiment;
the REAL sauce is one piece, youre welcome sauce seekers.;Entertaiment;
Dang this looks fire;Entertaiment;
Not interested until jap dub.;Entertaiment;
I expected creeping hunger to split in the middle, not the palm personally. But overall hyped for this :3;Entertaiment;
The production budget for each episode is about $1.4 Million;Entertaiment;
What's the show?;Entertaiment;
Are we suppose to know what this show is.;Entertaiment;
The ending of Episode 6 is the most emotional and touching thing I've seen in years. This show literally set a whole new standard for me.;Entertaiment;
Totally agreeed ;Entertaiment;
Oooo I’m watching it rn,  PEAK show.. I’m only on ep 3 but I’m locked in!;Entertaiment;
Top tier show;Entertaiment;
The visuals are amazing;Entertaiment;
I really want to know how much the budget for each episode is;Entertaiment;
What's the show name ,  where to watch it in india and is this in English or with subtitles;Entertaiment;
Name and where can I watch donghua in High quality.;Entertaiment;
“every episode feels cinematic” meanwhile Hollywood spending 4x the budget to make garbage;Entertaiment;
Visuals! .. Animation..;Entertaiment;
Bro where to watch this show;Entertaiment;
Is this show  have any English dubbed version;Entertaiment;
Which season is this? When I searched the first season aired in 2019 and last season was in 2025.;Entertaiment;
Pictures look good;Entertaiment;
that’s exactly how I feel about The Sandman;Entertaiment;
Ling cage is amazing! Donghua is superior to anime and I love anime. You cant compare the animations,  pacing, story,  or length to anything in anime.  There's a few 300+ ep anime but they have 100 lame fillers to get there. One piece is terrible so dont want to hear about that!;Entertaiment;
Where we can watch the donghua anime any website or telegram channel please;Entertaiment;
Visuals! .. Animation..;Entertaiment;
But I don't know why this Donghua outside the China is underrated.;Entertaiment;
Vague-posting a show and never giving the title is an instant account mute. Good job retard!;Entertaiment;
Do i need to watch the first season ?;Entertaiment;
It’s funny how everyone posts shit like “this is the best episode or show” or whatever it is. Then everyone agrees but no one names the actual show.;Entertaiment;
Been spreading the love for this series for a couple of months. I watched it 3 times in a row back to back. Its so good.;Entertaiment;
Is this like a linear story or every episode is different like in Black Mirror;Entertaiment;
Thought this was Diablo for a second - looks really interesting;Entertaiment;
If you don’t put the name in your post you’re engagement farming;Entertaiment;
Yes Ling Cage is truly one of the best sci fi animated shows ever made.;Entertaiment;
No words to give us the damn title too;Entertaiment;
One of the best shows I've ever seen in my life. No anime these days even comes close to this level of peakness...;Entertaiment;
Normalize saying the name of the show in the post. Fuckin baiting;Entertaiment;
Good to see the ‘vague posting’ trend is still alive and well.;Entertaiment;
You diserve your name a bit too much vague lord;Entertaiment;
Of course,   don't include name in the title so people HAVE to click post for engagement farming....miserable fuck;Entertaiment;
Name of the show man;Entertaiment;
Holy fuck! Yeah imma watch this;Entertaiment;
Season 2 final fight was dope!;Entertaiment;
Definitely one of the best donghuas I've had the pleasure of watching. Absolute Peak.;Entertaiment;
You gonna give the name or be that douche bag?;Entertaiment;
S2 is just insane man. It's legit western movie level. I will be there for any future YKHT donghua for sure;Entertaiment;
Try tales of herding gods after. Animation team went crazy;Entertaiment;
Everything is out of this world I leaves you wondering;Entertaiment;
Where I can watch it?;Entertaiment;
Burn Notice?;Entertaiment;
is this a game  or a movie ?;Entertaiment;
YOOOO I HAD A FEELING THIS WAS LING CAGE;Entertaiment;
It’s time to admit that Donghua is officially gapping modern Anime in terms of art direction. MAPPA and Ufotable finally have real competition.;Entertaiment;
Let’s be real,  the stills always look better than the actual movement. Is this actually peak or just another big-budget screensaver?;Entertaiment;
Which show is it !?????;Entertaiment;
so how many gummies did you take today ?;Entertaiment;
Chinese movie?;Entertaiment;
Absolutely cinematic!  The Ling Cage's animation quality is on another level — every episode feels like a full-blown Hollywood sci-fi blockbuster. Those visuals,  the lighting,  the world-building... Chinese donghua is eating right now.;Entertaiment;
Where to watch;Entertaiment;
no name mentioned in the post so who cares;Entertaiment;
What series is this?;Entertaiment;
Vaguepost®;Entertaiment;
Dr strange is at it again;Entertaiment;
Amazing;Entertaiment;
Heard season 3 is coming soon;Entertaiment;
Not naming the show in 2026 should be a bannable offense. People really think gatekeeping a masterpiece makes them special.;Entertaiment;
Every frame looks like it belongs on a cinema screen. The visuals are unreal.;Entertaiment;
What kind of movie (series)?;Entertaiment;
Yes please don’t add the title of the movie/show;Entertaiment;
EP1 English subs;Entertaiment;
Name of the donghua;Entertaiment;
When you talk about a series,  give the fucking name;Entertaiment;
what is the image related to ?;Entertaiment;
Heard season 3 is coming soon;Entertaiment;
What is the title of this movie? Why is there a Dr. Strange circle?;Entertaiment;
I definitely can't tell the name of the movie just by looking at this but the cenematography is impressive;Entertaiment;
Name ?;Entertaiment;
This the unbelievable animation?;Entertaiment;
Lord of mysteries right?;Entertaiment;
Where to watch??;Entertaiment;
where can I watch this show;Entertaiment;
Which movie is this!?;Entertaiment;
Swords also is epic cinematography check it out asap!;Entertaiment;
Which platform is it?;Entertaiment;
imagine if every animated series upped the bar like this one did;Entertaiment;
The name?;Entertaiment;
Where can I watch it;Entertaiment;
Where can we watch this;Entertaiment;
Is this anime??;Entertaiment;
may the algo punish all vague posters;Entertaiment;
You ever been to Blackreach?;Entertaiment;
yo is this good;Entertaiment;
Ling cage was good;Entertaiment;
looks like unreal engine slop lol;Entertaiment;
Donghua > Anime;Entertaiment;
And the fucking name,  am I imagining it or what?;Entertaiment;
What is it and where can I watch;Entertaiment;
this shit actually looks peak bro!!;Entertaiment;
Anime name please?;Entertaiment;
Are these pictures from the latest season?;Entertaiment;
Animation in 2026. How old are you boy?;Entertaiment;
CRIMINALLY UNDERRATED is the term I use when describing the show! This is PEAK! Pure cinema!;Entertaiment;
Ling cage animation is completely in house China.;Entertaiment;
Cinematic movie ;Entertaiment;
explain this ?;Entertaiment;
3d anime. Nah gonna skip.;Entertaiment;
Can I have this as PC wallpapers?;Entertaiment;
Ling cage my fav;Entertaiment;
Where can I watch it?;Entertaiment;
bro watching at last. season 2 mainly getting a crazy upscale;Entertaiment;
Devil may cry peak man;Entertaiment;
What's the show?;Entertaiment;
This is insane! The visuals are absolutely stunning!;Entertaiment;
I totally agree! The visuals are just stunning!;Entertaiment;
Ling Cage (2019) Full Series | Watch Online | Stream It;Entertaiment;
As a beginner who prefers characters to weapons,  it's fun. I like gambling and surprises;Entertaiment;
Ini bagus buat ngumpulin coral dibanding di senjata,  barangkali ada yg tipe senjata harus sign jadi mending gacha ini;Entertaiment;
Buat yg ngumpulin corals mungkin pada pullnya di situ,  kalo aku tetep di wp std si biar r5 eog sama static mist.;Entertaiment;
"lah gua tuh pengguna ""tab"" ini. males spend ke wp karena udah pada sign. lg semangat ngumpulin sequence char standar";Entertaiment;
aku sih soalny ga perlu wp standard;Entertaiment;
Wuwa! SEKALI LAGI SENDER MEMOHON KURO UNTUK MENGEMBALIKAN STRINGMASTER AAAAAAA SENDER BUTUH STRINGMASTER ARHAKJSHKD;Entertaiment;
THERE IS NO WAY THESE DEVS ADDED THIS FUCKASS SOUND EFFECT INTO HER IDLE;Entertaiment;
yall what's the dialogue if you chose not to place the cake;Entertaiment;
Ok,  confirmed by Denia. The Grand Architect is a woman.;Entertaiment;
Masahiro Itosugi,  author di balik seri terkenal ini baru saja membagikan kabar kalau akun Google pribadinya resmi ditangguhkan permanen. Penyebabnya? Cuma karena dia berniat mengarsipkan file manga lamanya ke dalam Google Drive!;Entertaiment;
THERE IS NO WAY THESE DEVS ADDED THIS FUCKASS SOUND EFFECT INTO HER IDLE;Entertaiment;
Professor Ryuk has become the strongest character.  ;Entertaiment;
I am over against this idea. This game is not Genshin Impact and Fractsidus is not chopped ass villain group like Fatui.;Entertaiment;
this part?? hello kuro??? I'm speechless.;Entertaiment;
Wuwa! Ini beneran weaponnya phrolo bisa jadi alternative weapon buat denia?;Entertaiment;
I'll keep this 4x speed video compilation of my 480-pull gacha session as a memento for myself.;Entertaiment;
her literally becoming her mother .;Entertaiment;
