Tweet,Category,Unnamed: 2,tweet_indonesia
What anime?,Entertaiment,,Ini bukan musim 2
Lord of Mysteries,Entertaiment,,Ini bukan musim 2
Is it a movie?,Entertaiment,,Ini bukan musim 2
Special episodes,Entertaiment,,Ohh jadi kita mendapatkan season 2 secepat ini?
What show is this,Entertaiment,,Ohh jadi kita mendapatkan season 2 secepat ini?
Lord of Mysteries,Entertaiment,,Ohh jadi kita mendapatkan season 2 secepat ini?
I need to rewatch season 1 ,Entertaiment,,Ohh jadi kita mendapatkan season 2 secepat ini?
Try to watch it in English dub,Entertaiment,,"Maksudku, aku tidak tahu tentang episode tahun ini. Cukup yakin akhir dari rezero, atau akhir dari kursus 1 MT akan berlangsung jika bukan episode topi penyihir."
is this season 2 that’s coming?,Entertaiment,,"Maksudku, aku tidak tahu tentang episode tahun ini. Cukup yakin akhir dari rezero, atau akhir dari kursus 1 MT akan berlangsung jika bukan episode topi penyihir."
It's not the season 2,Entertaiment,,Ini bukan musim 2
Ohh so we get season 2 so soon? ,Entertaiment,,Ohh jadi kita mendapatkan season 2 secepat ini?
"I mean idk about the episode of the year. Pretty sure finale of rezero,  or ending of cour 1 of MT will take it  if not a witch hat episode.",Entertaiment,,Yo anime apa ini?
Yo what anime is this?,Entertaiment,,Penguasa misteri??
Lord of mystries??,Entertaiment,,Penguasa misteri??
I thought this was bleach.,Entertaiment,,Saya pikir ini pemutih.
"Definitely watch in English,  I am chinese and it's giving me headache watching chinese speech and eng subtitle. Only on episode 1  animation is quite stressful to watch  too chaotic and poor use of lighting...etc I will watch some more to see if it gets better.",Entertaiment,,"Pastinya tonton dalam bahasa Inggris, saya orang Tionghoa dan membuat saya pusing menonton pidato bahasa Mandarin dan subtitle bahasa Inggris. Hanya di episode 1 animasinya cukup menegangkan untuk ditonton terlalu kacau dan penggunaan pencahayaan yang buruk...dll. Saya akan menonton lagi untuk melihat apakah menjadi lebih baik."
Can't wait for the Special Episode's mahn... ,Entertaiment,,Gak sabar nunggu mahn Episode Spesialnya..
Isnt season 2 coming out only on 2027?,Entertaiment,,Bukankah season 2 hanya keluar pada tahun 2027?
"I have literally never seen this show before,  only saw like a trailer a long time ago so I have no idea how I immediately knew it was Lord of Mysteries",Entertaiment,,SAYA HIPERVENTILASI DENGAN HYPE
I AM HYPERVENTILATING WITH HYPE,Entertaiment,,SAYA HIPERVENTILASI DENGAN HYPE
Ohh so we get season 2 so soon? ,Entertaiment,,Ohh jadi kita mendapatkan season 2 secepat ini?
Trust me guys this is peak show. Read the novel it's really peak,Entertaiment, ,"Percayalah, ini pertunjukan puncak. Baca novelnya puncak banget"
Looks like I found something new to watch,Entertaiment,,Ayo ambil!!! Tidak sabar menunggu cerita si Bodoh.
Let's get it!!! Can't wait for the Fool's stories.,Entertaiment,,Ayo ambil!!! Tidak sabar menunggu cerita si Bodoh.
Justice for Captain Dunn!,Entertaiment,,Keadilan untuk Kapten Dunn!
So far I'm in volume 5 of the novel  and guys let me tell season 2 will be the best season,Entertaiment,,Sejauh ini saya berada di volume 5 novel dan izinkan saya memberi tahu bahwa musim 2 akan menjadi musim terbaik
"Im gonna watch lotm from start again,  had dropped it after ep 3. I like binge watching.",Entertaiment,,Saya tidak sabar menunggu penguasa misteri
I can’t wait for the lord of mysteries,Entertaiment,,Saya tidak sabar menunggu penguasa misteri
“Lord of Mid” is the show name,Entertaiment,,"""Lord of Mid"" adalah nama acaranya"
EPISODE OF THE YEAR ?,Entertaiment,,EPISODE TAHUN INI?
Ohh so we get season 2 so soon? ,Entertaiment,,Ohh jadi kita mendapatkan season 2 secepat ini?
EPISODE OF THE YEAR ?,Entertaiment,,EPISODE TAHUN INI?
Man this news make me angry. They skip big part in season 1 and now they make special episode like it fix everything? No way. The animation look cheap and the story feel rush. LOTM book is way better. This just cash grab for fans. I not watch it.,Entertaiment,,"Astaga, berita ini membuatku marah. Mereka melewatkan sebagian besar musim 1 dan sekarang mereka membuat episode khusus seolah memperbaiki segalanya? Mustahil. Animasinya terlihat murahan dan ceritanya terasa terburu-buru. Buku LOTM jauh lebih baik. Ini hanya perampasan uang tunai untuk penggemar. Saya tidak menontonnya."
What anime.,Entertaiment,,Anime apa.
I bet it's Lord of the Mysteries. I watched the first episode and couldn't keep going.,Entertaiment,,Saya yakin itu Penguasa Misteri. Saya menonton episode pertama dan tidak dapat melanjutkan.
When is the 2nd season coming ?,Entertaiment,,Kapan musim ke-2 datang?
What show is this,Entertaiment,,Pertunjukan apa ini
One month for my exams too,Entertaiment,,Saatnya melihat Penguasa Misteri
Time to see Lord of Mysteries,Entertaiment,,Saatnya melihat Penguasa Misteri
new season?,Entertaiment,,musim baru?
